Query,Repetition,Device,TotalTime_ms,JIT_ms,Kernel_ms,Transfer_ms,Parse_ms,Other_ms
q11.sql,1,NVIDIA L40S,8331.15,0.01564,596.242,7734.01,9.91275,0.880714
q11.sql,2,NVIDIA L40S,40.4044,0.011481,40.0172,0.256399,3.0249,0.119279
q11.sql,3,NVIDIA L40S,40.5424,0.016984,39.9249,0.450986,5.12558,0.14959
q11.sql,4,NVIDIA L40S,40.6422,0.014089,40.0924,0.366229,4.82231,0.169525
q11.sql,5,NVIDIA L40S,40.4427,0.010014,39.8745,0.448253,4.81614,0.109985
q12.sql,1,NVIDIA L40S,7752.59,0.014275,358.055,7393.34,6.01616,1.17764
q12.sql,2,NVIDIA L40S,32.3952,0.029476,31.6358,0.574559,5.81506,0.155296
q12.sql,3,NVIDIA L40S,32.0796,0.008468,31.7514,0.223112,4.59479,0.096626
q12.sql,4,NVIDIA L40S,32.0395,0.00648,31.7565,0.201566,4.23582,0.074954
q12.sql,5,NVIDIA L40S,32.2505,0.012768,31.6433,0.478743,4.70441,0.115719
q13.sql,1,NVIDIA L40S,7331.07,0.020649,29.082,7300.83,5.58733,1.14394
q13.sql,2,NVIDIA L40S,31.2305,0.007367,30.9785,0.181954,4.97099,0.062745
q13.sql,3,NVIDIA L40S,31.9241,0.01313,31.3098,0.439475,4.40637,0.161632
q13.sql,4,NVIDIA L40S,31.1665,0.005796,30.9592,0.146104,4.98594,0.055395
q13.sql,5,NVIDIA L40S,31.4226,0.010692,30.9477,0.357874,4.06713,0.106375
q21.sql,1,NVIDIA L40S,9974.39,0.011971,855.156,6952.59,20.1073,2166.63
q21.sql,2,NVIDIA L40S,40.8858,0.010714,39.66,0.997027,18.6799,0.218111
q21.sql,3,NVIDIA L40S,40.2711,0.005739,39.273,0.850366,17.7276,0.141982
q21.sql,4,NVIDIA L40S,40.3452,0.011297,39.5165,0.621487,21.2088,0.195958
q21.sql,5,NVIDIA L40S,40.3374,0.009848,39.5534,0.610784,18.7033,0.163341
q22.sql,1,NVIDIA L40S,9970.45,0.012456,241.21,7658.03,19.6945,2071.21
q22.sql,2,NVIDIA L40S,33.9643,0.008427,33.2164,0.583623,18.8724,0.155907
q22.sql,3,NVIDIA L40S,33.8091,0.005967,32.7926,0.886807,18.0257,0.123704
q22.sql,4,NVIDIA L40S,34.0321,0.008278,33.1101,0.756881,17.6533,0.156838
q22.sql,5,NVIDIA L40S,34.5135,0.012752,33.805,0.483165,18.042,0.212627
q23.sql,1,NVIDIA L40S,8745.14,0.007299,387.548,6905.06,26.1534,1452.53
q23.sql,2,NVIDIA L40S,34.0447,0.00785,33.4143,0.47196,26.2321,0.150628
