Query,Repetition,Device,TotalTime_ms,JIT_ms,Kernel_ms,Transfer_ms,Parse_ms,Other_ms
q11.sql,1,AMD Instinct MI210,6039.6,0.015594,765.603,5273.47,3.13591,0.508145
q11.sql,2,AMD Instinct MI210,2265.53,0.012824,57.2057,2208.16,4.3768,0.15384
q11.sql,3,AMD Instinct MI210,2175.46,0.011357,36.9592,2138.36,6.3077,0.135892
q11.sql,4,AMD Instinct MI210,2276.7,0.012232,37.0856,2239.45,4.40741,0.14987
q11.sql,5,AMD Instinct MI210,2303.44,0.039024,81.9843,2221.18,4.60454,0.238065
q12.sql,1,AMD Instinct MI210,6252.82,0.022775,557.03,5695.25,4.58717,0.512509
q12.sql,2,AMD Instinct MI210,2142.06,0.014451,20.067,2121.73,6.13906,0.24737
q12.sql,3,AMD Instinct MI210,2186.82,0.018366,20.1447,2166.45,6.1124,0.206701
q12.sql,4,AMD Instinct MI210,2211.46,0.019119,19.9713,2191.28,6.39489,0.185784
q12.sql,5,AMD Instinct MI210,2332.32,0.026123,54.5325,2277.53,5.91145,0.228024
q13.sql,1,AMD Instinct MI210,4295.66,0.035462,17.0804,4278.08,4.64708,0.469319
q13.sql,2,AMD Instinct MI210,2203.12,0.020592,16.9011,2186,4.76017,0.198098
q13.sql,3,AMD Instinct MI210,1948.08,0.040813,17.0215,1930.78,5.76553,0.236994
q13.sql,4,AMD Instinct MI210,2147.62,0.037456,17.0047,2130.37,5.11022,0.210557
q13.sql,5,AMD Instinct MI210,2197.12,0.033265,17.1089,2179.61,5.95396,0.371744
q21.sql,1,AMD Instinct MI210,7389.47,0.01201,1210.35,5272.36,23.4472,906.74
q21.sql,2,AMD Instinct MI210,1849.62,0.011243,38.532,1810.78,18.2499,0.300211
q21.sql,3,AMD Instinct MI210,2209.96,0.010284,38.4332,2171.27,16.8121,0.250932
q21.sql,4,AMD Instinct MI210,2145.52,0.011824,38.4009,2106.86,18.0811,0.241885
q21.sql,5,AMD Instinct MI210,1981.76,0.017258,38.3811,1943.09,18.0976,0.275123
q22.sql,1,AMD Instinct MI210,5883.61,0.019354,378.38,4502.69,24.0268,1002.53
q22.sql,2,AMD Instinct MI210,2270.26,0.019471,23.2099,2246.69,17.0672,0.342985
q22.sql,3,AMD Instinct MI210,2146.66,0.012509,23.0455,2123.39,19.1748,0.212795
q22.sql,4,AMD Instinct MI210,1990.93,0.014463,22.9159,1967.75,17.1843,0.255366
q22.sql,5,AMD Instinct MI210,2218.71,0.009439,22.8623,2195.66,18.7528,0.176514
q23.sql,1,AMD Instinct MI210,5889.83,0.012949,820.972,4498.08,24.4066,570.767
q23.sql,2,AMD Instinct MI210,1952.53,0.019619,21.8471,1930.4,25.8766,0.2652
q23.sql,3,AMD Instinct MI210,1979.88,0.015205,21.9241,1957.7,26.4997,0.244294
q23.sql,4,AMD Instinct MI210,2000.44,0.006751,21.5212,1978.78,26.2632,0.128171
q23.sql,5,AMD Instinct MI210,2439.15,0.026864,221.157,2217.58,23.5503,0.378045
q31.sql,1,AMD Instinct MI210,6707.58,0.027781,424.853,5285.12,13.5974,997.575
q31.sql,2,AMD Instinct MI210,2358.41,0.016274,209.963,2147.98,16.0961,0.456864
q31.sql,3,AMD Instinct MI210,2429.85,0.013243,39.1669,2390.37,15.2115,0.304621
q31.sql,4,AMD Instinct MI210,2351.27,0.010395,39.1991,2311.74,15.5707,0.31905
q31.sql,5,AMD Instinct MI210,2217.17,0.019149,39.2498,2177.6,15.0693,0.297448
q32.sql,1,AMD Instinct MI210,6194.42,0.022222,29.521,5111.8,14.6066,1053.07
q32.sql,2,AMD Instinct MI210,2262.37,0.01394,28.9959,2233.04,15.09,0.318435
q32.sql,3,AMD Instinct MI210,2222,0.031885,29.2244,2192.4,14.7657,0.348606
q32.sql,4,AMD Instinct MI210,2213.01,0.038541,29.0441,2183.63,14.6197,0.295877
q32.sql,5,AMD Instinct MI210,2265.81,0.184145,29.0898,2236.23,15.1655,0.304658
q33.sql,1,AMD Instinct MI210,6761.7,0.036129,37.5939,5667.95,15.3802,1056.12
q33.sql,2,AMD Instinct MI210,2241.65,0.024737,22.1013,2219.25,21.4432,0.2773
q33.sql,3,AMD Instinct MI210,1323.04,0.00922,21.7583,1301.11,16.2621,0.162712
q33.sql,4,AMD Instinct MI210,1317.58,0.014519,21.6663,1295.76,13.9922,0.134564
q33.sql,5,AMD Instinct MI210,1322.78,0.00862,21.6716,1300.96,13.318,0.140656
q34.sql,1,AMD Instinct MI210,4742.15,0.011953,21.8442,4172.35,13.1764,547.945
q34.sql,2,AMD Instinct MI210,1403.34,0.006901,21.7127,1381.46,14.1822,0.153946
q34.sql,3,AMD Instinct MI210,1386.91,0.007627,21.6479,1365.12,13.3001,0.132898
q34.sql,4,AMD Instinct MI210,1352.09,0.00695,21.6433,1330.3,13.6275,0.137861
q34.sql,5,AMD Instinct MI210,1354.89,0.007534,21.6631,1332.99,13.4157,0.225566
q41.sql,1,AMD Instinct MI210,6529.35,0.014996,743.301,5245.01,23.1112,541.024
q41.sql,2,AMD Instinct MI210,1752.28,0.02016,41.6236,1710.27,23.9582,0.363061
q41.sql,3,AMD Instinct MI210,2029.59,0.013457,41.2821,1988.07,24.8006,0.222948
q41.sql,4,AMD Instinct MI210,2028.08,0.017872,41.3435,1986.44,30.5303,0.282649
q41.sql,5,AMD Instinct MI210,2247.62,0.029323,56.2451,2190.95,25.2178,0.40066
q42.sql,1,AMD Instinct MI210,6476.57,0.021374,746.01,5084.19,23.0648,646.348
q42.sql,2,AMD Instinct MI210,1916.04,0.015636,36.6678,1878.87,23.1153,0.485751
q42.sql,3,AMD Instinct MI210,2173.11,0.01933,37.0602,2135.62,20.821,0.408185
q42.sql,4,AMD Instinct MI210,2210.28,0.019747,36.9806,2172.93,22.7756,0.34881
q42.sql,5,AMD Instinct MI210,2100.44,0.014034,36.9477,2063.23,23.4126,0.251617
q43.sql,1,AMD Instinct MI210,6238.18,0.010413,332.21,5355.93,21.7007,550.028
q43.sql,2,AMD Instinct MI210,1398.77,0.006977,25.6626,1372.94,20.7424,0.163147
q43.sql,3,AMD Instinct MI210,1393.1,0.009156,25.7616,1367.15,27.3035,0.177907
q43.sql,4,AMD Instinct MI210,1321.9,0.007466,25.6442,1296.1,20.1102,0.149929
q43.sql,5,AMD Instinct MI210,1384.59,0.01665,25.6824,1358.72,19.7164,0.167458
