Query,Repetition,Device,TotalTime_ms,JIT_ms,Kernel_ms,Transfer_ms,Parse_ms,Other_ms
q11.sql,1,AMD Instinct MI210,7009.92,0,1208.08,5801.47,3.0522,0.372555
q11.sql,2,AMD Instinct MI210,2245.28,0,39.9165,2205.29,3.97638,0.076475
q11.sql,3,AMD Instinct MI210,2117.34,0,54.5256,2062.74,4.43049,0.07446
q11.sql,4,AMD Instinct MI210,2097.12,0,39.8071,2057.2,4.39676,0.113914
q11.sql,5,AMD Instinct MI210,2391.9,0,126.948,2264.86,4.48129,0.095447
q12.sql,1,AMD Instinct MI210,6149.99,0,632.807,5516.83,4.76875,0.354407
q12.sql,2,AMD Instinct MI210,1756.78,0,45.5201,1711.16,4.5259,0.098123
q12.sql,3,AMD Instinct MI210,1811.21,0,45.5094,1765.62,4.62516,0.07998
q12.sql,4,AMD Instinct MI210,2066.25,0,58.7987,2007.36,4.51225,0.094503
q12.sql,5,AMD Instinct MI210,2303.89,0,45.5367,2258.28,4.58334,0.0809
q13.sql,1,AMD Instinct MI210,4853.04,0,57.1295,4795.5,4.57302,0.417696
q13.sql,2,AMD Instinct MI210,2464.34,0,225.558,2238.55,4.4686,0.241108
q13.sql,3,AMD Instinct MI210,2622.32,0,65.987,2556.14,3.26664,0.190152
q13.sql,4,AMD Instinct MI210,2480.95,0,177.68,2303.09,5.45478,0.188295
q13.sql,5,AMD Instinct MI210,2058.07,0,45.5026,2012.5,4.66654,0.065482
q21.sql,1,AMD Instinct MI210,6839.24,0,1194.43,4819.78,16.4116,825.028
q21.sql,2,AMD Instinct MI210,2424.5,0,41.5338,2382.72,10.947,0.244587
q21.sql,3,AMD Instinct MI210,2708.45,0,41.3946,2666.94,17.8989,0.118778
q21.sql,4,AMD Instinct MI210,2418.08,0,41.4014,2376.56,16.8238,0.115287
q21.sql,5,AMD Instinct MI210,2344.41,0,152.918,2191.36,16.4485,0.129889
9397
q22.sql,1,AMD Instinct MI210,6092.28,0,225.345,4924.67,18.1574,942.271
q22.sql,2,AMD Instinct MI210,2297.17,0,37.2535,2259.79,19.7184,0.123283
q22.sql,3,AMD Instinct MI210,2265.77,0,37.3043,2228.3,17.4507,0.162428
q22.sql,4,AMD Instinct MI210,2220.89,0,37.4884,2183.22,17.7208,0.181682
q22.sql,5,AMD Instinct MI210,2171.52,0,37.2072,2134.2,17.702,0.118481
q23.sql,1,AMD Instinct MI210,6841.31,0,975.268,5384.1,24.4052,481.95
q23.sql,2,AMD Instinct MI210,2003.06,0,32.9887,1969.91,24.292,0.166935
q23.sql,3,AMD Instinct MI210,2024.03,0,32.7536,1991.19,29.6651,0.084522
q23.sql,4,AMD Instinct MI210,2090.66,0,32.8461,2057.71,25.0795,0.108925
q23.sql,5,AMD Instinct MI210,1792.07,0,32.7615,1759.22,24.4187,0.089901
q31.sql,1,AMD Instinct MI210,5254.77,0,444.499,4213.08,13.9876,597.196
q31.sql,2,AMD Instinct MI210,2194.06,0,44.591,2149.35,13.6711,0.11636
q31.sql,3,AMD Instinct MI210,2332.11,0,44.4413,2287.51,14.0967,0.159794
