Query,Repetition,Device,TotalTime_ms,JIT_ms,Kernel_ms,Transfer_ms,Parse_ms,Other_ms
q11.sql,1,NVIDIA L40S,7319.48,0.008603,17.7996,7301.1,5.24101,0.577871
q11.sql,2,NVIDIA L40S,40.6233,0.0141,39.9309,0.532393,5.52599,0.145951
q11.sql,3,NVIDIA L40S,40.5138,0.008896,39.8782,0.502753,4.93095,0.124015
q11.sql,4,NVIDIA L40S,41.4356,0.04269,40.8292,0.25139,4.50878,0.312386
q11.sql,5,NVIDIA L40S,40.45,0.011123,40.0215,0.30993,4.66494,0.107451
q12.sql,1,NVIDIA L40S,8494.27,0.024482,30.4593,8462.43,5.40522,1.35256
q12.sql,2,NVIDIA L40S,32.4014,0.011688,31.7694,0.502893,6.26006,0.117491
q12.sql,3,NVIDIA L40S,32.618,0.020113,31.8854,0.481798,5.27626,0.230625
q12.sql,4,NVIDIA L40S,32.3921,0.014557,31.8607,0.341195,5.25827,0.175588
q12.sql,5,NVIDIA L40S,32.3602,0.016562,31.8185,0.347306,5.74117,0.177882
q13.sql,1,NVIDIA L40S,8085.04,0.009368,29.179,8054.77,5.19623,1.07756
q13.sql,2,NVIDIA L40S,32.1306,0.01246,31.4156,0.51768,5.36528,0.184853
q13.sql,3,NVIDIA L40S,31.6429,0.010433,31.207,0.263828,4.97658,0.161671
q13.sql,4,NVIDIA L40S,31.4587,0.012839,30.8082,0.522072,2.54922,0.115544
q13.sql,5,NVIDIA L40S,31.6078,0.009953,31.2276,0.26248,4.91198,0.107738
q21.sql,1,NVIDIA L40S,9481.67,0.009412,280.076,8243.09,26.7066,958.493
q21.sql,2,NVIDIA L40S,40.0591,0.00463,38.5307,1.38861,21.9433,0.13517
q21.sql,3,NVIDIA L40S,39.8119,0.004405,38.9079,0.776853,20.6723,0.122743
q21.sql,4,NVIDIA L40S,40.1322,0.006564,39.1765,0.7792,19.6907,0.169844
q21.sql,5,NVIDIA L40S,40.2439,0.006857,39.4118,0.680529,19.7994,0.144654
q22.sql,1,NVIDIA L40S,7941.61,0.011132,10.6382,6971.55,29.5492,959.408
q22.sql,2,NVIDIA L40S,33.8513,0.005093,33.0844,0.611078,22.5706,0.150792
q22.sql,3,NVIDIA L40S,33.6412,0.005739,33.1321,0.398283,20.886,0.105106
