Query,Repetition,Device,TotalTime_ms,JIT_ms,Kernel_ms,Transfer_ms,Parse_ms,Other_ms
q11.sql,1,NVIDIA L40S,9035.5,0,885.485,8149.34,4.72713,0.672996
q11.sql,2,NVIDIA L40S,57.5932,0,57.3215,0.222386,5.27159,0.049332
q11.sql,3,NVIDIA L40S,57.5766,0,57.3365,0.197604,3.8164,0.042496
q11.sql,4,NVIDIA L40S,57.5725,0,57.2928,0.220598,3.7853,0.059031
q11.sql,5,NVIDIA L40S,57.5819,0,57.364,0.170155,3.65566,0.047767
q12.sql,1,NVIDIA L40S,7782.3,0,459.985,7321.22,6.81097,1.09318
q12.sql,2,NVIDIA L40S,60.0499,0,59.7219,0.251978,4.73468,0.076032
q12.sql,3,NVIDIA L40S,59.9913,0,59.7408,0.201166,3.72307,0.04936
q12.sql,4,NVIDIA L40S,59.9906,0,59.7259,0.215039,3.99322,0.049683
q12.sql,5,NVIDIA L40S,59.9868,0,59.7371,0.19892,3.11697,0.050711
q13.sql,1,NVIDIA L40S,7856.43,0,57.9564,7797.42,6.20066,1.05333
q13.sql,2,NVIDIA L40S,59.9914,0,59.7232,0.217318,4.97862,0.050957
q13.sql,3,NVIDIA L40S,60.1977,0,59.5162,0.580735,4.84393,0.100746
q13.sql,4,NVIDIA L40S,60.017,0,59.6846,0.261958,4.18544,0.070448
q13.sql,5,NVIDIA L40S,60.0472,0,59.7242,0.254048,4.04158,0.068947
q21.sql,1,NVIDIA L40S,8869.03,0,877.59,6913.55,17.6786,1077.89
q21.sql,2,NVIDIA L40S,42.7029,0,41.5988,0.967961,16.9085,0.136087
q21.sql,3,NVIDIA L40S,42.3368,0,41.7748,0.485541,23.3539,0.076406
q21.sql,4,NVIDIA L40S,42.9065,0,42.2927,0.431268,16.0341,0.18257
q21.sql,5,NVIDIA L40S,42.6628,0,41.8068,0.699924,16.3622,0.156149
q22.sql,1,NVIDIA L40S,7854.34,0,123.838,6786.52,17.6638,943.986
q22.sql,2,NVIDIA L40S,39.096,0,38.0624,0.907921,18.2534,0.125666
q22.sql,3,NVIDIA L40S,39.5145,0,38.5849,0.772352,17.1579,0.157269
q22.sql,4,NVIDIA L40S,38.9017,0,38.0476,0.744924,17.0172,0.109176
q22.sql,5,NVIDIA L40S,39.3912,0,38.7578,0.477407,16.727,0.156032
q23.sql,1,NVIDIA L40S,8588.8,0,486.441,7059.35,27.4242,1043
q23.sql,2,NVIDIA L40S,39.03,0,37.4502,1.39686,24.9918,0.182996
q23.sql,3,NVIDIA L40S,38.6497,0,37.8248,0.723319,31.0627,0.101639
q23.sql,4,NVIDIA L40S,38.6319,0,37.8732,0.65658,24.234,0.10211
q23.sql,5,NVIDIA L40S,38.6976,0,37.7686,0.796638,25.1695,0.132441
q31.sql,1,NVIDIA L40S,9472.04,0,346.635,7890.27,17.4974,1235.13
q31.sql,2,NVIDIA L40S,52.6533,0,51.7064,0.810526,14.4502,0.136387
q31.sql,3,NVIDIA L40S,52.4821,0,50.913,1.40808,13.2502,0.160988
q31.sql,4,NVIDIA L40S,52.5286,0,51.7356,0.667654,13.4981,0.125373
q31.sql,5,NVIDIA L40S,52.375,0,51.7636,0.497737,13.0816,0.113606
q32.sql,1,NVIDIA L40S,8186.05,0,15.73,6938.04,17.2995,1232.28
q32.sql,2,NVIDIA L40S,39.5136,0,38.8589,0.441834,15.4774,0.212907
q32.sql,3,NVIDIA L40S,39.1824,0,38.6602,0.451825,13.665,0.070442
q32.sql,4,NVIDIA L40S,39.1765,0,38.5834,0.508368,13.5534,0.08476
q32.sql,5,NVIDIA L40S,39.352,0,38.6018,0.629033,18.272,0.121196
q33.sql,1,NVIDIA L40S,8125.56,0,13.8311,6874.65,14.6727,1237.08
q33.sql,2,NVIDIA L40S,37.29,0,36.7493,0.462019,14.6723,0.078705
q33.sql,3,NVIDIA L40S,37.3267,0,36.5233,0.679667,13.4449,0.123709
q33.sql,4,NVIDIA L40S,38.0295,0,35.252,2.53373,14.7367,0.24376
q33.sql,5,NVIDIA L40S,37.2593,0,36.7816,0.401723,14.5551,0.076042
q34.sql,1,NVIDIA L40S,8594.05,0,13.7836,7008.07,16.2767,1572.2
q34.sql,2,NVIDIA L40S,37.5367,0,36.8649,0.463984,14.2185,0.207887
q34.sql,3,NVIDIA L40S,37.2706,0,36.706,0.473714,13.6109,0.090829
q34.sql,4,NVIDIA L40S,37.4572,0,36.622,0.724235,14.8927,0.110996
q34.sql,5,NVIDIA L40S,37.3675,0,36.7374,0.513478,6.29038,0.116596
q41.sql,1,NVIDIA L40S,9438.36,0,685.585,7429.48,23.9678,1323.3
q41.sql,2,NVIDIA L40S,64.8144,0,63.9131,0.796001,24.1236,0.105204
q41.sql,3,NVIDIA L40S,64.8103,0,63.2932,1.38844,30.317,0.128657
q41.sql,4,NVIDIA L40S,67.6562,0,65.5748,0.833695,23.1439,1.24767
q41.sql,5,NVIDIA L40S,64.795,0,63.8444,0.852487,23.6709,0.098117
q42.sql,1,NVIDIA L40S,9555.49,0,291.342,8057.71,26.8096,1206.45
q42.sql,2,NVIDIA L40S,57.6054,0,54.7198,2.59713,22.0376,0.288446
q42.sql,3,NVIDIA L40S,57.4632,0,56.6501,0.683673,21.6324,0.129448
q42.sql,4,NVIDIA L40S,57.8336,0,56.8683,0.769513,21.3982,0.195842
q42.sql,5,NVIDIA L40S,57.2817,0,56.5364,0.619945,20.7889,0.125389
q43.sql,1,NVIDIA L40S,8019.04,0,22.5693,6776.2,28.8667,1220.28
q43.sql,2,NVIDIA L40S,46.1285,0,45.5759,0.462658,21.493,0.089902
q43.sql,3,NVIDIA L40S,46.1712,0,45.6214,0.464761,20.1356,0.085057
q43.sql,4,NVIDIA L40S,46.4563,0,45.6702,0.471705,20.9375,0.314323
q43.sql,5,NVIDIA L40S,46.169,0,45.5721,0.515555,20.3341,0.081349
