Query,Repetition,Device,TotalTime_ms,JIT_ms,Kernel_ms,Transfer_ms,Parse_ms,Other_ms
q11.sql,1,NVIDIA L40S,7409.02,0.013452,558.024,6850.23,4.59477,0.756808
q11.sql,2,NVIDIA L40S,40.2309,0.007696,39.9972,0.151117,4.68783,0.074844
q11.sql,3,NVIDIA L40S,40.2547,0.00639,39.973,0.194846,3.85047,0.080454
q11.sql,4,NVIDIA L40S,40.2597,0.006024,39.9629,0.216423,3.77511,0.074289
q11.sql,5,NVIDIA L40S,40.4692,0.011587,40.1294,0.191546,3.80474,0.136669
q12.sql,1,NVIDIA L40S,7548.95,0.011338,359.466,7188.39,6.89303,1.07607
q12.sql,2,NVIDIA L40S,32.0748,0.010492,31.7341,0.237563,5.04155,0.092635
q12.sql,3,NVIDIA L40S,32.0067,0.007114,31.6995,0.223685,4.17772,0.076315
q12.sql,4,NVIDIA L40S,32.059,0.007675,31.7613,0.209302,3.9976,0.080673
q12.sql,5,NVIDIA L40S,32.1113,0.00812,31.5271,0.495963,3.96673,0.080161
q13.sql,1,NVIDIA L40S,6795.35,0.011839,29.3702,6764.92,4.88519,1.03911
q13.sql,2,NVIDIA L40S,31.2541,0.008519,30.6956,0.478146,4.84678,0.071819
q13.sql,3,NVIDIA L40S,31.2929,0.009219,30.9883,0.194537,3.95165,0.100814
q13.sql,4,NVIDIA L40S,31.2323,0.008597,30.9063,0.235807,3.81439,0.081571
q13.sql,5,NVIDIA L40S,31.4399,0.012916,31.0624,0.19452,3.88829,0.170025
q21.sql,1,NVIDIA L40S,8604.8,0.00986,829.237,6730.72,17.7578,1044.83
q21.sql,2,NVIDIA L40S,39.6974,0.004604,39.1609,0.420728,16.8718,0.111126
q21.sql,3,NVIDIA L40S,40.0364,0.006712,39.4506,0.414979,15.7075,0.164105
q21.sql,4,NVIDIA L40S,39.8178,0.003564,39.2911,0.42439,15.8753,0.098759
q21.sql,5,NVIDIA L40S,40.3085,0.015104,39.7354,0.380934,21.1271,0.177137
q22.sql,1,NVIDIA L40S,8755.44,0.011628,229.207,7087.81,18.1807,1438.41
q22.sql,2,NVIDIA L40S,33.883,0.00664,33.235,0.465518,17.7578,0.175859
q22.sql,3,NVIDIA L40S,34.1417,0.007075,33.4691,0.418885,16.9139,0.246608
q22.sql,4,NVIDIA L40S,33.7439,0.005597,33.1681,0.454706,16.7312,0.115437
q22.sql,5,NVIDIA L40S,33.6634,0.00555,33.1842,0.365197,16.3059,0.10851
q23.sql,1,NVIDIA L40S,8526.1,0.009887,625.105,6797.3,25.3585,1103.68
q23.sql,2,NVIDIA L40S,33.6924,0.004579,33.1817,0.400232,24.3049,0.105971
q23.sql,3,NVIDIA L40S,33.7418,0.004462,33.2288,0.399642,23.7955,0.108904
q23.sql,4,NVIDIA L40S,33.7519,0.004259,33.2136,0.42977,29.5125,0.104263
q23.sql,5,NVIDIA L40S,34.7916,0.010156,33.7866,0.378968,22.994,0.615841
q31.sql,1,NVIDIA L40S,8301.84,0.01035,276.447,6805.03,13.9477,1220.35
q31.sql,2,NVIDIA L40S,44.9491,0.005913,44.3207,0.493634,14.8052,0.128927
q31.sql,3,NVIDIA L40S,44.8535,0.005077,44.3571,0.384908,12.7284,0.106404
q31.sql,4,NVIDIA L40S,45.1994,0.006242,44.6181,0.419267,12.5433,0.155719
q31.sql,5,NVIDIA L40S,44.8963,0.004812,44.4094,0.3778,12.9219,0.104322
q32.sql,1,NVIDIA L40S,8033.81,0.011431,11.6284,6802.98,13.7806,1219.19
q32.sql,2,NVIDIA L40S,35.1458,0.005181,34.5577,0.462207,14.5741,0.1208
q32.sql,3,NVIDIA L40S,35.3184,0.006608,34.4054,0.759171,13.0401,0.147205
q32.sql,4,NVIDIA L40S,35.0361,0.004461,34.5843,0.346022,12.3923,0.101234
q32.sql,5,NVIDIA L40S,35.2386,0.007631,34.6862,0.376694,12.4107,0.168117
q33.sql,1,NVIDIA L40S,8038.39,0.019419,8.8565,6797.3,14.7007,1232.21
