Query,Repetition,Device,TotalTime_ms,JIT_ms,Kernel_ms,Transfer_ms,Parse_ms,Other_ms
q11.sql,1,NVIDIA L40S,7738.26,0.021066,589.164,7148.32,4.80993,0.748135
q11.sql,2,NVIDIA L40S,47.3526,0.008552,47.1082,0.159538,4.86644,0.076286
q11.sql,3,NVIDIA L40S,47.3686,0.005991,47.1085,0.179244,3.92716,0.074842
q11.sql,4,NVIDIA L40S,47.3929,0.006925,47.1014,0.206842,3.8325,0.07775
q11.sql,5,NVIDIA L40S,47.3652,0.007328,47.0903,0.192404,3.72626,0.075152
q12.sql,1,NVIDIA L40S,7108.55,0.015146,391.929,6715.46,4.90129,1.13982
q12.sql,2,NVIDIA L40S,45.099,0.009193,44.7831,0.221531,5.06362,0.085175
q12.sql,3,NVIDIA L40S,45.1013,0.007984,44.7951,0.214655,3.98347,0.083601
q12.sql,4,NVIDIA L40S,45.0663,0.006921,44.8026,0.182605,3.90429,0.074183
q12.sql,5,NVIDIA L40S,45.0517,0.007383,44.7711,0.192866,3.89741,0.080366
q13.sql,1,NVIDIA L40S,7234.52,0.015958,42.619,7190.69,6.15149,1.1907
q13.sql,2,NVIDIA L40S,44.946,0.012459,44.5092,0.285752,5.28081,0.138591
q13.sql,3,NVIDIA L40S,44.9481,0.01203,44.4661,0.326643,5.02644,0.143266
q13.sql,4,NVIDIA L40S,44.9159,0.01021,44.484,0.280896,5.16722,0.140838
q13.sql,5,NVIDIA L40S,45.1002,0.013853,44.6263,0.302999,5.0137,0.157033
q21.sql,1,NVIDIA L40S,8591,0.010649,831.342,6720.99,17.1629,1038.65
q21.sql,2,NVIDIA L40S,44.4066,0.005634,43.8421,0.433069,17.3227,0.125868
q21.sql,3,NVIDIA L40S,44.4052,0.003657,43.8892,0.391858,16.0237,0.120526
q21.sql,4,NVIDIA L40S,44.3025,0.004371,43.8606,0.34164,15.9239,0.095826
q21.sql,5,NVIDIA L40S,44.3111,0.004025,43.832,0.379996,15.7218,0.095084
q22.sql,1,NVIDIA L40S,8545.78,0.011302,249.217,7368.66,20.4084,927.889
q22.sql,2,NVIDIA L40S,43.5117,0.006033,42.9049,0.421122,17.8081,0.179565
q22.sql,3,NVIDIA L40S,43.2496,0.004932,42.7643,0.373493,22.4372,0.106875
q22.sql,4,NVIDIA L40S,43.2863,0.005753,42.8068,0.366745,16.713,0.106999
q22.sql,5,NVIDIA L40S,43.2423,0.005183,42.7336,0.402505,16.5211,0.100983
q23.sql,1,NVIDIA L40S,9357.78,0.009695,646.017,7656.15,28.232,1055.6
q23.sql,2,NVIDIA L40S,42.2408,0.005228,41.6998,0.418528,24.8835,0.117268
q23.sql,3,NVIDIA L40S,42.168,0.004206,41.6757,0.382755,23.7616,0.105308
q23.sql,4,NVIDIA L40S,42.1564,0.003764,41.6531,0.405835,23.2745,0.093709
q23.sql,5,NVIDIA L40S,42.2665,0.003867,41.7411,0.40394,22.9904,0.117609
