Query,Repetition,Device,TotalTime_ms,JIT_ms,Kernel_ms,Transfer_ms,Parse_ms,Other_ms
q11.sql,1,NVIDIA L40S,8473.07,0.017683,567.065,7905.21,5.12441,0.769426
q11.sql,2,NVIDIA L40S,44.1556,0.022882,43.1301,0.62805,5.12368,0.374569
q11.sql,3,NVIDIA L40S,43.4054,0.011132,42.3759,0.892967,5.87002,0.125469
q11.sql,4,NVIDIA L40S,43.4673,0.013609,42.9329,0.383845,4.77561,0.13694
q11.sql,5,NVIDIA L40S,43.3309,0.010166,42.949,0.264978,4.01303,0.106678
q12.sql,1,NVIDIA L40S,7746.5,0.010269,394.373,7351.03,6.00635,1.08438
q12.sql,2,NVIDIA L40S,35.3258,0.007188,35.01,0.223177,4.4029,0.085511
q12.sql,3,NVIDIA L40S,35.6009,0.013418,34.8861,0.559287,3.80638,0.142122
q12.sql,4,NVIDIA L40S,35.5508,0.014093,34.901,0.513522,4.73346,0.122198
q12.sql,5,NVIDIA L40S,35.515,0.014647,34.8883,0.495283,4.1901,0.116815
q13.sql,1,NVIDIA L40S,7285.01,0.019745,32.4444,7251.46,5.92141,1.08959
q13.sql,2,NVIDIA L40S,34.534,0.007571,34.2083,0.241392,4.76765,0.076683
q13.sql,3,NVIDIA L40S,34.5129,0.008701,34.2321,0.187921,3.89866,0.084151
q13.sql,4,NVIDIA L40S,34.8145,0.013421,34.0706,0.592673,4.8658,0.137793
q13.sql,5,NVIDIA L40S,34.5384,0.015745,33.5964,0.774398,4.26014,0.151832
