Query,Repetition,Device,TotalTime_ms,JIT_ms,Kernel_ms,Transfer_ms,Parse_ms,Other_ms
q11.sql,1,AMD Instinct MI210,6430.1,0.014137,769.945,5659.56,6.25258,0.581316
q11.sql,2,AMD Instinct MI210,2256.93,0.01807,36.5468,2220.16,8.35347,0.208447
q11.sql,3,AMD Instinct MI210,2321.08,0.02081,62.5953,2258.15,8.2261,0.314171
q11.sql,4,AMD Instinct MI210,2298.7,0.011154,37.129,2261.42,7.59468,0.134397
q11.sql,5,AMD Instinct MI210,2298.59,0.010407,37.0235,2261.41,4.52511,0.147368
q12.sql,1,AMD Instinct MI210,5436,0.039329,503.215,4932.24,6.31403,0.506114
q12.sql,2,AMD Instinct MI210,2213.3,0.017854,20.0424,2193.04,6.45904,0.194888
q12.sql,3,AMD Instinct MI210,2289.85,0.038808,20.0963,2269.39,6.26872,0.329226
q12.sql,4,AMD Instinct MI210,2248.93,0.036669,40.5286,2208.12,6.12257,0.245675
q12.sql,5,AMD Instinct MI210,2238.52,0.0152,40.9511,2197.37,6.14034,0.176762
q13.sql,1,AMD Instinct MI210,4788.02,0.011856,16.8009,4770.81,6.33967,0.403008
q13.sql,2,AMD Instinct MI210,1466.91,0.020089,16.8083,1449.9,5.94535,0.177302
q13.sql,3,AMD Instinct MI210,1893.54,0.020312,16.9703,1876.4,6.06012,0.150443
q13.sql,4,AMD Instinct MI210,2128.87,0.027631,376.139,1752.52,6.76963,0.18648
q13.sql,5,AMD Instinct MI210,2293.27,0.013972,16.8434,2276.27,6.29686,0.141382
q21.sql,1,AMD Instinct MI210,7210.47,0.012421,1177.49,5171.8,19.401,861.165
q21.sql,2,AMD Instinct MI210,2358.44,0.018204,59.9974,2298.07,18.8391,0.358586
q21.sql,3,AMD Instinct MI210,2116.02,0.011556,39.9669,2075.83,19.2676,0.214418
q21.sql,4,AMD Instinct MI210,2346.94,0.009387,40.0422,2306.67,19.5295,0.21372
q21.sql,5,AMD Instinct MI210,2628.77,0.01061,40.0303,2588.54,23.6469,0.191601
q22.sql,1,AMD Instinct MI210,5648.03,0.020197,334.721,4681.84,19.9353,631.446
q22.sql,2,AMD Instinct MI210,2255.57,0.018849,23.9294,2231.36,20.1552,0.266795
q22.sql,3,AMD Instinct MI210,2312.22,0.011579,23.7575,2288.19,19.8292,0.258004
q22.sql,4,AMD Instinct MI210,2261.96,0.01245,34.5476,2227.19,20.7552,0.213339
q22.sql,5,AMD Instinct MI210,2062.08,0.012874,23.7402,2038.11,20.4194,0.220986
q23.sql,1,AMD Instinct MI210,6548.17,0.011695,834.175,5243.74,27.3921,470.242
q23.sql,2,AMD Instinct MI210,2300.39,0.011751,21.9543,2278.05,26.9283,0.366828
q23.sql,3,AMD Instinct MI210,2314.53,0.00962,21.7214,2292.61,26.5621,0.187995
q23.sql,4,AMD Instinct MI210,2318.13,0.019417,31.2444,2286.63,30.9895,0.229143
q23.sql,5,AMD Instinct MI210,1885.66,0.010077,21.6472,1863.82,27.1708,0.18661
q31.sql,1,AMD Instinct MI210,5763.13,0.013809,415.295,4719.34,16.1949,628.477
q31.sql,2,AMD Instinct MI210,2241.33,0.008328,39.1628,2201.99,16.2377,0.168156
q31.sql,3,AMD Instinct MI210,2209.83,0.00744,39.1266,2170.53,17.0918,0.165831
q31.sql,4,AMD Instinct MI210,2296.54,0.014011,39.5723,2256.64,16.9116,0.307454
q31.sql,5,AMD Instinct MI210,2572.57,0.04442,39.441,2532.86,15.946,0.223983
q32.sql,1,AMD Instinct MI210,5788.63,0.010679,62.8024,5097.51,15.6002,628.305
q32.sql,2,AMD Instinct MI210,2414.2,0.019002,29.1099,2384.76,15.9091,0.310456
q32.sql,3,AMD Instinct MI210,2387,0.010774,28.9321,2357.84,16.2681,0.225942
q32.sql,4,AMD Instinct MI210,2436.46,0.014461,29.0357,2407.15,16.706,0.263582
q32.sql,5,AMD Instinct MI210,2247.02,0.007618,28.7115,2218.1,15.8833,0.195906
q33.sql,1,AMD Instinct MI210,5344.62,0.013579,21.9381,4756.1,16.7095,566.572
q33.sql,2,AMD Instinct MI210,2454.93,0.02438,150.482,2304.09,16.5668,0.331603
q33.sql,3,AMD Instinct MI210,2121.22,0.017311,22.1757,2098.76,20.1289,0.272052
q33.sql,4,AMD Instinct MI210,2277.31,0.014244,22.0158,2255.03,16.9348,0.245735
q33.sql,5,AMD Instinct MI210,2455.46,0.014347,22.0089,2433.21,16.6574,0.229956
q34.sql,1,AMD Instinct MI210,5604.08,0.013313,35.764,5016.35,16.189,551.958
q34.sql,2,AMD Instinct MI210,2139.92,0.011527,21.9617,2117.71,16.5348,0.239025
q34.sql,3,AMD Instinct MI210,2398.11,0.015023,21.8194,2376.05,16.7891,0.232252
q34.sql,4,AMD Instinct MI210,1908.67,0.012587,21.9263,1886.52,16.6522,0.211564
q34.sql,5,AMD Instinct MI210,2569.3,0.012691,22.016,2547.01,16.2434,0.262857
q41.sql,1,AMD Instinct MI210,7248.91,0.021064,878.944,5731.44,27.7863,638.505
q41.sql,2,AMD Instinct MI210,2091.12,0.019361,41.9919,2048.81,28.4736,0.303668
q41.sql,3,AMD Instinct MI210,2146.7,0.013368,41.756,2104.7,27.653,0.234252
q41.sql,4,AMD Instinct MI210,2363.16,0.012287,41.7336,2321.18,32.7867,0.235949
q41.sql,5,AMD Instinct MI210,2467.05,0.01387,41.7718,2425.03,27.2525,0.2342
q42.sql,1,AMD Instinct MI210,6587.27,0.025332,734.304,5125.19,25.0187,727.749
q42.sql,2,AMD Instinct MI210,1371.16,0.009376,37.0104,1333.95,25.1405,0.183595
q42.sql,3,AMD Instinct MI210,2012.1,0.061151,37.5006,1974.19,17.2438,0.342221
