Query,Repetition,Device,TotalTime_ms,JIT_ms,Kernel_ms,Transfer_ms,Parse_ms,Other_ms
q11.sql,1,AMD Instinct MI210,9358.59,0.015329,3537.03,5820.86,8.74958,0.688592
q11.sql,2,AMD Instinct MI210,15805.4,0.022434,13711.5,2093.59,5.96128,0.297195
q11.sql,3,AMD Instinct MI210,9356.63,0.019655,7114.23,2242.09,6.7375,0.282795
q11.sql,4,AMD Instinct MI210,2502.75,0.013394,177.179,2325.41,7.64667,0.145487
q11.sql,5,AMD Instinct MI210,7816.4,0.017494,5600.12,2216.05,6.39671,0.219274
q12.sql,1,AMD Instinct MI210,6325.21,0.023429,804.899,5506.06,6.26611,14.2236
q12.sql,2,AMD Instinct MI210,2384.78,0.045387,57.659,2326.79,7.95375,0.285933
q12.sql,3,AMD Instinct MI210,2346,0.014354,20.0673,2325.77,7.21673,0.148324
q12.sql,4,AMD Instinct MI210,2443.46,0.020912,177.065,2266.05,6.73491,0.322745
q12.sql,5,AMD Instinct MI210,7898.1,0.025783,5740.78,2157.01,6.68433,0.276437
q13.sql,1,AMD Instinct MI210,5504.51,0.026105,16.8307,5487.02,6.23502,0.640821
q13.sql,2,AMD Instinct MI210,2364.23,0.012197,16.9292,2347.15,6.50136,0.130471
q13.sql,3,AMD Instinct MI210,10649.2,0.025452,8632.27,2016.73,6.31917,0.213136
q13.sql,4,AMD Instinct MI210,2236.16,0.078153,17.3658,2218.4,5.91786,0.319968
q13.sql,5,AMD Instinct MI210,2098.12,0.037049,16.8392,2081.06,7.66297,0.184249
q21.sql,1,AMD Instinct MI210,7504.53,0.007711,1010.65,5798.16,26.1073,695.714
q21.sql,2,AMD Instinct MI210,1827.48,0.00842,40.0287,1787.19,22.8185,0.249732
q21.sql,3,AMD Instinct MI210,2206.75,0.009846,40.1628,2166.32,25.9628,0.256997
q21.sql,4,AMD Instinct MI210,1528.89,0.00546,39.701,1489.07,21.6362,0.116404
q21.sql,5,AMD Instinct MI210,1402.91,0.004953,39.7064,1363.08,18.2363,0.113843
q22.sql,1,AMD Instinct MI210,4938.16,0.007907,302.338,4069.82,19.2525,565.99
q22.sql,2,AMD Instinct MI210,1390.26,0.008416,23.3863,1366.74,19.5296,0.130969
q22.sql,3,AMD Instinct MI210,1388.66,0.00638,23.4559,1365.03,19.5022,0.164562
q22.sql,4,AMD Instinct MI210,1413.85,0.006467,23.4199,1390.28,18.6371,0.140495
q22.sql,5,AMD Instinct MI210,1408.93,0.007521,23.3779,1385.41,18.9796,0.139713
q23.sql,1,AMD Instinct MI210,6278.25,0.015646,982.368,4627.82,25.2078,668.042
q23.sql,2,AMD Instinct MI210,2325.83,0.01031,22.0359,2303.5,27.1528,0.28514
q23.sql,3,AMD Instinct MI210,2410.47,0.009653,21.8391,2388.39,37.779,0.22685
q23.sql,4,AMD Instinct MI210,2230.34,0.007602,21.7961,2208.33,31.6691,0.199001
q23.sql,5,AMD Instinct MI210,2229.13,0.010546,21.8449,2207.02,29.1692,0.251818
q31.sql,1,AMD Instinct MI210,6492.85,0.013601,413.912,5417.19,17.4927,661.727
q31.sql,2,AMD Instinct MI210,2246.39,0.014399,39.5575,2206.56,17.4662,0.257841
q31.sql,3,AMD Instinct MI210,2429.19,0.205574,228.72,2199.77,20.7909,0.494119
q31.sql,4,AMD Instinct MI210,2386.94,0.010619,39.6704,2347.02,17.2584,0.238914
q31.sql,5,AMD Instinct MI210,2459.75,0.034761,39.4488,2420.05,16.9058,0.2078
q32.sql,1,AMD Instinct MI210,5898.32,0.023346,30.7777,4836.1,16.5786,1031.41
q32.sql,2,AMD Instinct MI210,2204.14,0.011482,29.1563,2174.71,17.2029,0.266711
q32.sql,3,AMD Instinct MI210,2591.7,0.027363,29.3478,2561.95,17.4998,0.370176
q32.sql,4,AMD Instinct MI210,2401.08,0.019918,204.565,2196.04,17.3679,0.45175
q32.sql,5,AMD Instinct MI210,2699.17,0.02368,201.373,2497.4,23.9148,0.373798
q33.sql,1,AMD Instinct MI210,5950.38,0.017767,33.4758,5314.46,17.8248,602.424
q33.sql,2,AMD Instinct MI210,2219.02,0.015993,22.1705,2196.57,16.515,0.266592
q33.sql,3,AMD Instinct MI210,2259.93,0.016473,22.4924,2237.12,18.0148,0.301989
q33.sql,4,AMD Instinct MI210,2371.75,0.024808,22.284,2349.14,18.1319,0.307426
q33.sql,5,AMD Instinct MI210,2473.08,0.018526,22.2084,2450.57,17.3909,0.281838
q34.sql,1,AMD Instinct MI210,6442.88,0.017466,31.4142,5446.13,17.598,965.324
q34.sql,2,AMD Instinct MI210,1957.3,0.011199,22.3088,1934.75,16.2881,0.230766
q34.sql,3,AMD Instinct MI210,1834.53,0.008784,21.761,1812.59,15.5007,0.16857
q34.sql,4,AMD Instinct MI210,1539.54,0.013121,21.9425,1517.41,15.7464,0.168223
q34.sql,5,AMD Instinct MI210,2111.74,0.032316,241.708,1869.58,16.1174,0.413638
q41.sql,1,AMD Instinct MI210,5788.4,0.020421,896.404,4173.85,28.7747,718.127
q41.sql,2,AMD Instinct MI210,1699.9,0.008144,41.5692,1658.15,28.0622,0.163794
q41.sql,3,AMD Instinct MI210,1930.96,0.013895,41.9779,1888.7,30.901,0.263736
q41.sql,4,AMD Instinct MI210,1663.85,0.020216,62.2054,1601.1,29.0159,0.520866
q41.sql,5,AMD Instinct MI210,1816.76,0.007783,41.484,1775.12,36.7608,0.148276
q42.sql,1,AMD Instinct MI210,6437.25,0.023873,739.062,4915.91,23.5064,782.251
q42.sql,2,AMD Instinct MI210,2256.23,0.015377,37.5628,2218.37,26.3917,0.286012
q42.sql,3,AMD Instinct MI210,2034.24,0.017923,54.6285,1979.23,28.1818,0.356248
q42.sql,4,AMD Instinct MI210,2274.1,0.020641,37.6096,2236.14,31.1938,0.33051
q42.sql,5,AMD Instinct MI210,2194.84,0.015144,37.4056,2157.17,28.8252,0.243135
q43.sql,1,AMD Instinct MI210,6321.68,0.016262,341.374,5394.81,35.2846,585.476
q43.sql,2,AMD Instinct MI210,1635.27,0.009964,26.2334,1608.81,23.3492,0.216761
q43.sql,3,AMD Instinct MI210,2251.08,0.014536,26.4189,2224.35,22.6852,0.301517
q43.sql,4,AMD Instinct MI210,1456.58,0.012405,25.9607,1430.44,25.8197,0.1713
q43.sql,5,AMD Instinct MI210,1756.63,0.016003,26.3829,1729.92,23.9533,0.309002
