Query,Repetition,Device,TotalTime_ms,JIT_ms,Kernel_ms,Transfer_ms,Other_ms
q11.sql,1,AMD Instinct MI210,8984.51,0.012643,533.367,8448.22,2.90375
q11.sql,2,AMD Instinct MI210,87.8949,0.009556,84.5735,0.65051,2.6613
q11.sql,3,AMD Instinct MI210,87.5877,0.007159,85.055,0.217993,2.30757
q11.sql,4,AMD Instinct MI210,87.7814,0.014421,84.8075,0.532716,2.42681
q11.sql,5,AMD Instinct MI210,87.6704,0.009034,85.0511,0.283858,2.32639
q12.sql,1,AMD Instinct MI210,8125.55,0.010687,391.843,7732.33,1.36095
q12.sql,2,AMD Instinct MI210,34.0897,0.015038,33.3011,0.576428,0.197051
q12.sql,3,AMD Instinct MI210,33.7129,0.010367,32.9581,0.493355,0.251053
q12.sql,4,AMD Instinct MI210,33.6469,0.012351,33.2528,0.23523,0.146489
q12.sql,5,AMD Instinct MI210,33.6104,0.010874,32.9733,0.501151,0.12516
q13.sql,1,AMD Instinct MI210,7624.87,0.017325,30.6747,7593,1.17486
q13.sql,2,AMD Instinct MI210,32.7843,0.006485,32.445,0.238636,0.094167
q13.sql,3,AMD Instinct MI210,32.9765,0.009219,32.3765,0.496624,0.094142
q13.sql,4,AMD Instinct MI210,32.8183,0.008782,32.5026,0.210188,0.096646
q13.sql,5,AMD Instinct MI210,32.7547,0.006882,32.4665,0.199388,0.081958
q21.sql,1,AMD Instinct MI210,9055.74,0,0,7095.66,1960.08
q21.sql,2,AMD Instinct MI210,42.1834,0,0,0.476631,41.7068
q21.sql,3,AMD Instinct MI210,42.1448,0,0,0.396913,41.7479
q21.sql,4,AMD Instinct MI210,42.1261,0,0,0.385663,41.7405
q21.sql,5,AMD Instinct MI210,42.2594,0,0,0.408346,41.851
q22.sql,1,AMD Instinct MI210,8459.3,0,0,7324.75,1134.55
q22.sql,2,AMD Instinct MI210,38.5658,0,0,0.421063,38.1447
q22.sql,3,AMD Instinct MI210,38.5381,0,0,0.404411,38.1337
q22.sql,4,AMD Instinct MI210,38.5904,0,0,0.535142,38.0553
q22.sql,5,AMD Instinct MI210,38.5221,0,0,0.367635,38.1545
q23.sql,1,AMD Instinct MI210,8504.88,0,0,6962.17,1542.71
q23.sql,2,AMD Instinct MI210,38.2315,0,0,0.447609,37.7839
q23.sql,3,AMD Instinct MI210,38.2395,0,0,0.408242,37.8313
q23.sql,4,AMD Instinct MI210,38.2621,0,0,0.44336,37.8187
q23.sql,5,AMD Instinct MI210,38.4076,0,0,0.703795,37.7038
q31.sql,1,AMD Instinct MI210,8547.62,0,0,6949.54,1598.09
q31.sql,2,AMD Instinct MI210,51.9728,0,0,0.457028,51.5158
q31.sql,3,AMD Instinct MI210,52.0383,0,0,0.411032,51.6272
q31.sql,4,AMD Instinct MI210,51.767,0,0,0.466472,51.3005
q31.sql,5,AMD Instinct MI210,51.7645,0,0,0.381366,51.3831
q32.sql,1,AMD Instinct MI210,8282.74,0,0,7025.66,1257.08
q32.sql,2,AMD Instinct MI210,39.1973,0,0,0.488974,38.7084
q32.sql,3,AMD Instinct MI210,39.1773,0,0,0.467969,38.7094
q32.sql,4,AMD Instinct MI210,39.1809,0,0,0.496192,38.6847
q32.sql,5,AMD Instinct MI210,39.1635,0,0,0.426839,38.7367
q33.sql,1,AMD Instinct MI210,9218.37,0,0,7964.36,1254.01
q33.sql,2,AMD Instinct MI210,37.302,0,0,0.624956,36.6771
q33.sql,3,AMD Instinct MI210,37.2483,0,0,0.574605,36.6737
q33.sql,4,AMD Instinct MI210,37.1325,0,0,0.380246,36.7522
q33.sql,5,AMD Instinct MI210,37.1213,0,0,0.389658,36.7316
q34.sql,1,AMD Instinct MI210,9147.16,0,0,7885.39,1261.76
q34.sql,2,AMD Instinct MI210,41.501,0,0,0.435896,41.0651
q34.sql,3,AMD Instinct MI210,40.914,0,0,0.79146,40.1226
q34.sql,4,AMD Instinct MI210,42.7947,0,0,0.509927,42.2848
q34.sql,5,AMD Instinct MI210,42.8152,0,0,0.801613,42.0136
q41.sql,1,AMD Instinct MI210,8644.47,0,0,6974.22,1670.25
q41.sql,2,AMD Instinct MI210,64.3902,0,0,0.783571,63.6066
q41.sql,3,AMD Instinct MI210,64.2539,0,0,0.639223,63.6147
q41.sql,4,AMD Instinct MI210,64.1317,0,0,0.48054,63.6511
q41.sql,5,AMD Instinct MI210,64.24,0,0,0.440131,63.7999
q42.sql,1,AMD Instinct MI210,9048.17,0,0,7562.84,1485.33
q42.sql,2,AMD Instinct MI210,56.7911,0,0,0.637372,56.1537
q42.sql,3,AMD Instinct MI210,56.742,0,0,0.458002,56.284
q42.sql,4,AMD Instinct MI210,56.7962,0,0,0.698414,56.0978
q42.sql,5,AMD Instinct MI210,56.8119,0,0,0.634571,56.1773
q43.sql,1,AMD Instinct MI210,9562.09,0,0,8093.02,1469.06
q43.sql,2,AMD Instinct MI210,45.9602,0,0,0.756629,45.2035
q43.sql,3,AMD Instinct MI210,45.9748,0,0,0.457622,45.5172
q43.sql,4,AMD Instinct MI210,46.0311,0,0,0.509116,45.522
q43.sql,5,AMD Instinct MI210,46.0206,0,0,0.53781,45.4828
