Query,Repetition,Device,TotalTime_ms,JIT_ms,Kernel_ms,Transfer_ms,Other_ms
q11.sql,1,NVIDIA L40S,7382.25,0.00967,18.765,7362.93,0.551077
q11.sql,2,NVIDIA L40S,41.3846,0.006448,40.7782,0.51789,0.082062
q11.sql,3,NVIDIA L40S,41.2889,0.006164,41.0365,0.178219,0.068009
q11.sql,4,NVIDIA L40S,41.2454,0.005259,41.017,0.158277,0.064933
q11.sql,5,NVIDIA L40S,41.3437,0.007325,40.7661,0.491977,0.078268
q12.sql,1,NVIDIA L40S,7253.38,0.009011,32.0218,7220.3,1.04147
q12.sql,2,NVIDIA L40S,33.3655,0.006406,33.0976,0.18967,0.071894
q12.sql,3,NVIDIA L40S,33.3375,0.005633,33.1091,0.158304,0.064437
q12.sql,4,NVIDIA L40S,33.3715,0.007439,33.1363,0.157384,0.070362
q12.sql,5,NVIDIA L40S,33.3287,0.007611,33.0831,0.169743,0.068267
q13.sql,1,NVIDIA L40S,6730.56,0.008046,30.9097,6698.58,1.06212
q13.sql,2,NVIDIA L40S,32.703,0.005675,32.4607,0.177305,0.059347
q13.sql,3,NVIDIA L40S,32.6972,0.006547,32.4436,0.177749,0.069303
q13.sql,4,NVIDIA L40S,32.6637,0.006008,32.4276,0.163097,0.066993
q13.sql,5,NVIDIA L40S,32.6863,0.006242,32.4429,0.166443,0.07078
q21.sql,1,NVIDIA L40S,9043.93,0,0,6807.02,2236.92
q21.sql,2,NVIDIA L40S,42.0334,0,0,0.416185,41.6172
q21.sql,3,NVIDIA L40S,41.9746,0,0,0.453187,41.5214
q21.sql,4,NVIDIA L40S,41.9546,0,0,0.364186,41.5904
q21.sql,5,NVIDIA L40S,42.0913,0,0,0.40292,41.6884
q22.sql,1,NVIDIA L40S,8996.59,0,0,6980.74,2015.85
q22.sql,2,NVIDIA L40S,38.6761,0,0,0.687214,37.9889
q22.sql,3,NVIDIA L40S,38.5682,0,0,0.650542,37.9177
q22.sql,4,NVIDIA L40S,38.4159,0,0,0.361209,38.0547
q22.sql,5,NVIDIA L40S,38.424,0,0,0.3328,38.0912
q23.sql,1,NVIDIA L40S,8091.86,0,0,6755.36,1336.5
q23.sql,2,NVIDIA L40S,38.1494,0,0,0.393707,37.7557
q23.sql,3,NVIDIA L40S,38.1447,0,0,0.374516,37.7702
q23.sql,4,NVIDIA L40S,38.129,0,0,0.341705,37.7873
q23.sql,5,NVIDIA L40S,38.1142,0,0,0.331416,37.7827
q31.sql,1,NVIDIA L40S,9618.89,0,0,6798.64,2820.24
q31.sql,2,NVIDIA L40S,51.7912,0,0,0.686902,51.1042
q31.sql,3,NVIDIA L40S,51.9607,0,0,0.40897,51.5517
q31.sql,4,NVIDIA L40S,51.7699,0,0,0.33911,51.4308
q31.sql,5,NVIDIA L40S,51.577,0,0,0.361358,51.2157
q32.sql,1,NVIDIA L40S,9464.61,0,0,6796.05,2668.56
q32.sql,2,NVIDIA L40S,39.0361,0,0,0.446415,38.5897
q32.sql,3,NVIDIA L40S,39.1172,0,0,0.750895,38.3663
q32.sql,4,NVIDIA L40S,38.963,0,0,0.374647,38.5884
q32.sql,5,NVIDIA L40S,39.225,0,0,0.731251,38.4938
q33.sql,1,NVIDIA L40S,9376.3,0,0,6730.46,2645.84
q33.sql,2,NVIDIA L40S,37.2802,0,0,0.66138,36.6188
q33.sql,3,NVIDIA L40S,37.1806,0,0,0.703202,36.4774
q33.sql,4,NVIDIA L40S,37.0609,0,0,0.350466,36.7104
q33.sql,5,NVIDIA L40S,37.0653,0,0,0.355519,36.7098
q34.sql,1,NVIDIA L40S,9398.86,0,0,6738.96,2659.9
q34.sql,2,NVIDIA L40S,37.0924,0,0,0.443311,36.6491
q34.sql,3,NVIDIA L40S,37.1708,0,0,0.644011,36.5268
q34.sql,4,NVIDIA L40S,37.1564,0,0,0.663749,36.4926
q34.sql,5,NVIDIA L40S,37.1868,0,0,0.57512,36.6117
q41.sql,1,NVIDIA L40S,9134.66,0,0,6734.92,2399.73
q41.sql,2,NVIDIA L40S,64.0625,0,0,0.517947,63.5445
q41.sql,3,NVIDIA L40S,64.1527,0,0,0.54615,63.6066
q41.sql,4,NVIDIA L40S,64.1642,0,0,0.43108,63.7332
q41.sql,5,NVIDIA L40S,64.1077,0,0,0.411198,63.6965
q42.sql,1,NVIDIA L40S,9674.99,0,0,6743.52,2931.47
q42.sql,2,NVIDIA L40S,56.6518,0,0,0.52877,56.123
q42.sql,3,NVIDIA L40S,56.6166,0,0,0.777924,55.8387
q42.sql,4,NVIDIA L40S,56.6858,0,0,0.380194,56.3056
q42.sql,5,NVIDIA L40S,56.5739,0,0,0.464817,56.109
q43.sql,1,NVIDIA L40S,9413.66,0,0,6731.17,2682.49
q43.sql,2,NVIDIA L40S,45.8473,0,0,0.549914,45.2974
q43.sql,3,NVIDIA L40S,45.8057,0,0,0.420019,45.3857
q43.sql,4,NVIDIA L40S,45.8066,0,0,0.382219,45.4243
q43.sql,5,NVIDIA L40S,45.9321,0,0,0.690383,45.2418
