Query,Repetition,Device,TotalTime_ms,JIT_ms,Kernel_ms,Transfer_ms,Parse_ms,Other_ms
q11.sql,1,cuda:0,7558.71,0.010594,538.426,7019.37,3.9532,0.906486
q11.sql,2,cuda:0,37.1532,0.008259,36.8423,0.213781,3.97249,0.088852
q11.sql,3,cuda:0,37.3625,0.012617,37.0137,0.190864,3.59255,0.145276
q11.sql,4,cuda:0,37.1403,0.006027,36.8405,0.220617,3.46034,0.073119
q11.sql,5,cuda:0,37.1578,0.006768,36.8745,0.199151,3.37455,0.07737
q12.sql,1,cuda:0,8850.48,0.020923,400.905,8448.28,4.18769,1.26898
q12.sql,2,cuda:0,31.8498,0.011075,31.4527,0.27347,2.70101,0.112579
q12.sql,3,cuda:0,31.8207,0.010661,31.4683,0.238199,3.69407,0.103625
q12.sql,4,cuda:0,31.8152,0.010084,31.4642,0.238893,3.58871,0.102089
q12.sql,5,cuda:0,31.8239,0.010802,31.4733,0.234561,3.62433,0.105232
q13.sql,1,cuda:0,7704.16,0.012109,29.1767,7673.9,4.09723,1.06491
q13.sql,2,cuda:0,31.1597,0.009464,30.8716,0.195451,4.13702,0.083249
q13.sql,3,cuda:0,31.1714,0.007015,30.871,0.206114,3.63014,0.08729
q13.sql,4,cuda:0,31.116,0.007318,30.8436,0.189737,3.49758,0.075404
q13.sql,5,cuda:0,31.1441,0.008698,30.8545,0.200638,3.48931,0.080285
q21.sql,1,cuda:0,9470.8,0.010785,155.018,8088.69,16.5015,1227.08
q21.sql,2,cuda:0,39.9444,0.006291,39.2751,0.52254,16.3373,0.140508
q21.sql,3,cuda:0,39.9548,0.006608,39.1363,0.574412,15.0738,0.237452
q21.sql,4,cuda:0,39.9426,0.006119,39.3227,0.476478,14.9423,0.137302
q21.sql,5,cuda:0,40.2377,0.007777,39.4925,0.462701,19.8529,0.274729
q22.sql,1,cuda:0,8096.38,0.012514,227.928,6915.3,16.6123,953.137
q22.sql,2,cuda:0,33.9713,0.009095,32.8276,0.929047,16.3099,0.205629
q22.sql,3,cuda:0,33.8019,0.022677,32.9913,0.677353,15.7645,0.110524
q22.sql,4,cuda:0,33.8143,0.006045,33.0271,0.65704,15.4437,0.124158
