Query,Repetition,Device,TotalTime_ms,JIT_ms,Kernel_ms,Transfer_ms,Parse_ms,Other_ms
q11.sql,1,NVIDIA L40S,7626.99,0.011214,555.799,7070.42,6.67763,0.75472
q11.sql,2,NVIDIA L40S,40.5993,0.011446,39.8643,0.603893,7.12569,0.119648
q11.sql,3,NVIDIA L40S,40.5216,0.011074,40.0687,0.328003,5.74998,0.113746
q11.sql,4,NVIDIA L40S,40.4267,0.009624,40.0775,0.238915,5.32614,0.100686
q11.sql,5,NVIDIA L40S,40.4287,0.010391,40.0732,0.241487,5.30903,0.10359
q12.sql,1,NVIDIA L40S,7665.03,0.014046,360.531,7303.45,7.24238,1.03423
q12.sql,2,NVIDIA L40S,32.0764,0.006814,31.7799,0.199305,7.27928,0.090419
q12.sql,3,NVIDIA L40S,32.0813,0.008282,31.7926,0.201737,5.66984,0.078598
q12.sql,4,NVIDIA L40S,32.0495,0.006949,31.7933,0.17755,5.61684,0.071699
q12.sql,5,NVIDIA L40S,32.0541,0.007326,31.8034,0.171077,5.30125,0.072293
q13.sql,1,NVIDIA L40S,7127.39,0.012411,29.2722,7097.02,7.10723,1.08573
q13.sql,2,NVIDIA L40S,31.2483,0.005923,30.9598,0.211252,7.27418,0.071308
q13.sql,3,NVIDIA L40S,31.2449,0.006318,30.9852,0.17883,5.7795,0.074533
q13.sql,4,NVIDIA L40S,31.2923,0.007531,31.0472,0.15814,5.29456,0.079426
q13.sql,5,NVIDIA L40S,31.2464,0.00595,30.9819,0.183269,5.26269,0.075249
q21.sql,1,NVIDIA L40S,10033,0.009336,859.615,6999.6,20.7821,2173.75
q21.sql,2,NVIDIA L40S,39.8584,0.004224,39.3563,0.391811,20.8715,0.105994
q21.sql,3,NVIDIA L40S,39.8296,0.004916,39.1455,0.502798,20.9562,0.176389
q21.sql,4,NVIDIA L40S,39.8891,0.003856,39.3466,0.438129,24.6875,0.10053
q21.sql,5,NVIDIA L40S,39.9966,0.00437,39.5291,0.361721,18.6121,0.101462
q22.sql,1,NVIDIA L40S,9241.85,0.011232,253.663,6948.95,22.0767,2039.22
q22.sql,2,NVIDIA L40S,33.769,0.005788,33.2181,0.420561,21.4423,0.124598
q22.sql,3,NVIDIA L40S,33.7062,0.004885,33.2551,0.334752,20.0202,0.111431
q22.sql,4,NVIDIA L40S,33.6784,0.005718,33.2268,0.337036,19.2593,0.108866
q22.sql,5,NVIDIA L40S,33.7004,0.005212,33.2513,0.334086,19.8162,0.109824
q23.sql,1,NVIDIA L40S,8779.69,0.006469,390.092,6943.64,28.6189,1445.95
q23.sql,2,NVIDIA L40S,33.7641,0.004353,33.2723,0.379777,28.4092,0.107639
q23.sql,3,NVIDIA L40S,33.9575,0.005823,33.1263,0.707886,32.3547,0.11749
q23.sql,4,NVIDIA L40S,33.9227,0.004313,33.0978,0.713498,26.3054,0.107015
q23.sql,5,NVIDIA L40S,33.9401,0.005773,33.1203,0.708144,26.4582,0.105882
q31.sql,1,NVIDIA L40S,10083.7,0.011305,412.193,6961.87,18.3342,2709.65
q31.sql,2,NVIDIA L40S,45.0933,0.005734,44.5392,0.425601,17.5729,0.122773
