Query,Repetition,Device,TotalTime_ms,JIT_ms,Kernel_ms,Transfer_ms,Other_ms
q11.sql,1,NVIDIA L40S,7574.38,0.010055,509.181,7064.46,0.727632
q11.sql,2,NVIDIA L40S,41.8749,0.018569,41.1587,0.510881,0.186727
q11.sql,3,NVIDIA L40S,41.3736,0.009365,40.9867,0.270401,0.107076
q11.sql,4,NVIDIA L40S,41.3406,0.009065,40.9768,0.251341,0.103439
q11.sql,5,NVIDIA L40S,41.4687,0.00914,40.9783,0.365595,0.115665
q12.sql,1,NVIDIA L40S,7431.78,0.008439,306.183,7124.47,1.12158
q12.sql,2,NVIDIA L40S,33.7123,0.043764,32.927,0.595416,0.146184
q12.sql,3,NVIDIA L40S,33.3746,0.008347,33.0845,0.198644,0.083142
q12.sql,4,NVIDIA L40S,33.3394,0.006052,33.094,0.164833,0.074466
q12.sql,5,NVIDIA L40S,33.4354,0.007596,32.8462,0.498594,0.082964
q13.sql,1,NVIDIA L40S,6910.49,0.010365,30.7153,6878.69,1.07117
q13.sql,2,NVIDIA L40S,32.7286,0.006589,32.4514,0.194812,0.075807
q13.sql,3,NVIDIA L40S,32.7042,0.006292,32.4362,0.181576,0.080086
q13.sql,4,NVIDIA L40S,32.708,0.005561,32.4576,0.16844,0.076385
q13.sql,5,NVIDIA L40S,32.7176,0.005812,32.4485,0.179652,0.083628
q21.sql,1,NVIDIA L40S,10032.5,0,858.129,7019.28,2155.13
q21.sql,2,NVIDIA L40S,42.4534,0,41.9138,0.457581,0.082038
q21.sql,3,NVIDIA L40S,42.3382,0,41.8186,0.420445,0.09919
q21.sql,4,NVIDIA L40S,42.4077,0,41.9951,0.339153,0.073396
q21.sql,5,NVIDIA L40S,42.3505,0,41.9528,0.328504,0.06922
q22.sql,1,NVIDIA L40S,9062.17,0,125.405,6896.32,2040.45
q22.sql,2,NVIDIA L40S,38.7425,0,38.2091,0.450774,0.082585
q22.sql,3,NVIDIA L40S,38.6892,0,38.2611,0.349758,0.078333
q22.sql,4,NVIDIA L40S,38.682,0,38.2545,0.358834,0.068685
q22.sql,5,NVIDIA L40S,38.9785,0,38.4984,0.360073,0.119964
q23.sql,1,NVIDIA L40S,9416.21,0,247.809,7659.83,1508.58
q23.sql,2,NVIDIA L40S,38.7309,0,37.7922,0.833271,0.105447
q23.sql,3,NVIDIA L40S,38.6492,0,38.0452,0.45066,0.153308
q23.sql,4,NVIDIA L40S,38.6504,0,37.8326,0.727755,0.090077
q23.sql,5,NVIDIA L40S,38.5095,0,38.0044,0.418638,0.086519
q31.sql,1,NVIDIA L40S,10063.9,0,447.691,6908.32,2707.93
q31.sql,2,NVIDIA L40S,52.5028,0,51.8797,0.44743,0.175678
q31.sql,3,NVIDIA L40S,52.2746,0,51.4923,0.703663,0.078621
q31.sql,4,NVIDIA L40S,52.1967,0,51.7741,0.3465,0.076134
q31.sql,5,NVIDIA L40S,52.2516,0,51.7917,0.347444,0.112507
q32.sql,1,NVIDIA L40S,9613.7,0,15.8398,6882.83,2715.04
q32.sql,2,NVIDIA L40S,39.2376,0,38.6746,0.47883,0.084142
q32.sql,3,NVIDIA L40S,39.2776,0,38.7536,0.382773,0.141254
q32.sql,4,NVIDIA L40S,39.1947,0,38.7929,0.334264,0.067556
q32.sql,5,NVIDIA L40S,39.3012,0,38.5097,0.723559,0.067862
q33.sql,1,NVIDIA L40S,9550.6,0,13.8848,6847.5,2689.22
q33.sql,2,NVIDIA L40S,37.3444,0,36.8185,0.439382,0.086517
q33.sql,3,NVIDIA L40S,37.3964,0,36.6357,0.690089,0.070567
q33.sql,4,NVIDIA L40S,37.4164,0,36.6072,0.725638,0.083565
q33.sql,5,NVIDIA L40S,37.2919,0,36.8446,0.377065,0.070234
q34.sql,1,NVIDIA L40S,9580.51,0,13.7975,6881.35,2685.37
q34.sql,2,NVIDIA L40S,37.2884,0,36.743,0.460403,0.085025
q34.sql,3,NVIDIA L40S,37.2078,0,36.7471,0.390639,0.070059
q34.sql,4,NVIDIA L40S,37.2181,0,36.8082,0.334136,0.075722
q34.sql,5,NVIDIA L40S,37.3344,0,36.7452,0.519043,0.070154
q41.sql,1,NVIDIA L40S,9861.03,0,700.505,7072.61,2087.91
q41.sql,2,NVIDIA L40S,64.6697,0,64.1581,0.408402,0.103265
q41.sql,3,NVIDIA L40S,64.5523,0,63.9841,0.461684,0.106484
q41.sql,4,NVIDIA L40S,64.577,0,64.0333,0.455284,0.088468
q41.sql,5,NVIDIA L40S,64.6182,0,64.0895,0.438039,0.090628
q42.sql,1,NVIDIA L40S,9836.75,0,296.518,6850.58,2689.64
q42.sql,2,NVIDIA L40S,57.0085,0,56.5027,0.42182,0.083985
q42.sql,3,NVIDIA L40S,57.6566,0,56.6254,0.437721,0.593476
q42.sql,4,NVIDIA L40S,57.265,0,56.4722,0.703331,0.0894
q42.sql,5,NVIDIA L40S,56.975,0,56.4838,0.413694,0.077568
q43.sql,1,NVIDIA L40S,9759.66,0,227.712,6853.41,2678.53
q43.sql,2,NVIDIA L40S,52.5394,0,51.8498,0.447616,0.242028
q43.sql,3,NVIDIA L40S,52.8344,0,51.8317,0.644333,0.358382
q43.sql,4,NVIDIA L40S,52.7784,0,52.059,0.503208,0.216211
q43.sql,5,NVIDIA L40S,48.692,0,47.8616,0.394345,0.436102
