Query,Repetition,Device,TotalTime_ms,JIT_ms,Kernel_ms,Transfer_ms,Parse_ms,Other_ms
q11.sql,1,NVIDIA L40S,7726.3,0,673.987,7051.83,5.41094,0.489793
q11.sql,2,NVIDIA L40S,57.6394,0,57.3887,0.197292,4.83596,0.053391
q11.sql,3,NVIDIA L40S,57.5031,0,57.3328,0.133908,4.02122,0.036395
q11.sql,4,NVIDIA L40S,57.5231,0,57.3471,0.136154,3.91737,0.039818
q11.sql,5,NVIDIA L40S,57.5464,0,57.378,0.129897,3.72295,0.038494
q12.sql,1,NVIDIA L40S,7252.3,0,449.027,6802.22,5.07656,1.05015
q12.sql,2,NVIDIA L40S,60.0047,0,59.8182,0.137764,4.98489,0.048697
q12.sql,3,NVIDIA L40S,59.9723,0,59.7888,0.143808,4.25417,0.039638
q12.sql,4,NVIDIA L40S,59.9999,0,59.8052,0.156822,4.01644,0.037908
q12.sql,5,NVIDIA L40S,60.023,0,59.8391,0.13125,4.02121,0.052592
q13.sql,1,NVIDIA L40S,6841.94,0,58.0751,6782.79,5.00909,1.06889
q13.sql,2,NVIDIA L40S,59.9566,0,59.7512,0.169558,5.02952,0.035905
q13.sql,3,NVIDIA L40S,59.9443,0,59.7659,0.135688,3.91602,0.042807
q13.sql,4,NVIDIA L40S,59.9394,0,59.752,0.151556,4.03796,0.035831
q13.sql,5,NVIDIA L40S,59.9461,0,59.7781,0.130411,3.88624,0.037567
q21.sql,1,NVIDIA L40S,9422.92,0,328.294,7086.81,17.7735,2007.81
q21.sql,2,NVIDIA L40S,42.4458,0,41.9644,0.380637,17.9455,0.10082
q21.sql,3,NVIDIA L40S,42.4007,0,41.9848,0.350288,16.4056,0.065689
q21.sql,4,NVIDIA L40S,42.3965,0,41.7283,0.61007,15.9561,0.058101
q21.sql,5,NVIDIA L40S,42.2157,0,41.8255,0.320964,16.1209,0.069298
q22.sql,1,NVIDIA L40S,8734.19,0,15.5886,6742.56,22.563,1976.04
q22.sql,2,NVIDIA L40S,38.7328,0,38.1985,0.452337,18.2939,0.081985
q22.sql,3,NVIDIA L40S,38.6778,0,38.2478,0.361985,17.263,0.068037
q22.sql,4,NVIDIA L40S,38.7185,0,38.2589,0.355915,16.9963,0.103693
q22.sql,5,NVIDIA L40S,38.6669,0,38.2923,0.310218,17.5217,0.064385
q23.sql,1,NVIDIA L40S,8251.26,0,147.955,6781.49,53.0883,1321.81
q23.sql,2,NVIDIA L40S,38.7512,0,37.9553,0.646161,44.1494,0.149661
q23.sql,3,NVIDIA L40S,38.453,0,37.9667,0.420812,27.1116,0.06551
q23.sql,4,NVIDIA L40S,38.4449,0,38.0331,0.347148,28.4462,0.064651
q23.sql,5,NVIDIA L40S,38.428,0,38.038,0.326564,24.0629,0.063464
q31.sql,1,NVIDIA L40S,9919.35,0,415.592,6826.64,12.5042,2677.12
q31.sql,2,NVIDIA L40S,52.2284,0,51.6238,0.497308,13.0517,0.107308
q31.sql,3,NVIDIA L40S,52.2326,0,51.6662,0.468015,13.6357,0.098407
q31.sql,4,NVIDIA L40S,52.464,0,51.7823,0.548636,21.3357,0.133058
q31.sql,5,NVIDIA L40S,51.8641,0,51.3024,0.467541,18.219,0.094085
q32.sql,1,NVIDIA L40S,9607.62,0,15.7514,6940.99,14.9262,2650.88
q32.sql,2,NVIDIA L40S,39.3172,0,38.7803,0.432528,14.7644,0.104405
q32.sql,3,NVIDIA L40S,39.1945,0,38.6471,0.486469,13.2022,0.060926
q32.sql,4,NVIDIA L40S,39.1777,0,38.7601,0.353626,13.4925,0.063968
q32.sql,5,NVIDIA L40S,39.3961,0,38.5561,0.697971,13.4361,0.142008
q33.sql,1,NVIDIA L40S,9509.83,0,13.8489,6829.87,15.6193,2666.11
q33.sql,2,NVIDIA L40S,37.3764,0,36.8225,0.467893,15.1713,0.08601
q33.sql,3,NVIDIA L40S,37.4463,0,36.6671,0.681853,14.118,0.097357
q33.sql,4,NVIDIA L40S,37.3636,0,36.858,0.437925,18.4556,0.067662
q33.sql,5,NVIDIA L40S,37.3735,0,36.6643,0.646554,14.3225,0.062682
q34.sql,1,NVIDIA L40S,9583.14,0,13.8128,6914.19,14.6452,2655.13
q34.sql,2,NVIDIA L40S,37.255,0,36.7109,0.462771,14.8232,0.081257
q34.sql,3,NVIDIA L40S,37.2245,0,36.7953,0.36103,13.8867,0.068174
q34.sql,4,NVIDIA L40S,37.3084,0,36.8005,0.367135,13.7562,0.140684
q34.sql,5,NVIDIA L40S,37.1797,0,36.7857,0.328761,13.5613,0.065219
q41.sql,1,NVIDIA L40S,9053.73,0,170.513,6857.62,25.1587,2025.6
q41.sql,2,NVIDIA L40S,64.6655,0,64.1752,0.396457,10.7173,0.093876
q41.sql,3,NVIDIA L40S,64.8114,0,64.0174,0.711694,23.9961,0.082242
q41.sql,4,NVIDIA L40S,64.6427,0,63.8759,0.694827,23.5752,0.072027
q41.sql,5,NVIDIA L40S,65.1019,0,64.2827,0.588976,28.5373,0.230297
q42.sql,1,NVIDIA L40S,9709.87,0,55.6322,6901.39,22.3903,2752.85
q42.sql,2,NVIDIA L40S,57.0518,0,56.419,0.519936,22.1443,0.112905
q42.sql,3,NVIDIA L40S,57.1026,0,56.3948,0.581418,21.5437,0.126347
q42.sql,4,NVIDIA L40S,57.1145,0,56.3948,0.604319,21.0698,0.115398
q42.sql,5,NVIDIA L40S,57.5585,0,56.7138,0.652163,20.931,0.192576
q43.sql,1,NVIDIA L40S,9500.55,0,22.708,6801.87,22.2432,2675.97
q43.sql,2,NVIDIA L40S,46.2932,0,45.5839,0.540194,21.5025,0.169106
q43.sql,3,NVIDIA L40S,46.096,0,45.6135,0.398564,20.9153,0.083909
q43.sql,4,NVIDIA L40S,46.1153,0,45.6182,0.417207,26.6151,0.079902
q43.sql,5,NVIDIA L40S,46.2436,0,45.7362,0.398816,21.8471,0.108617
