Query,Repetition,Device,TotalTime_ms,JIT_ms,Kernel_ms,Transfer_ms,Parse_ms,Other_ms
q11.sql,1,cuda:0,7211.82,0.019711,18.3626,7192.62,4.60626,0.81963
q11.sql,2,cuda:0,40.4842,0.008353,40.0273,0.347761,4.89876,0.10082
q11.sql,3,cuda:0,40.526,0.009353,39.7542,0.647669,4.57291,0.114785
q11.sql,4,cuda:0,40.4999,0.00885,39.6309,0.736168,4.22481,0.123909
q11.sql,5,cuda:0,40.8551,0.020645,40.3289,0.281313,4.39216,0.224242
q12.sql,1,cuda:0,7909.45,0.011447,334.482,7573.84,4.83254,1.11637
q12.sql,2,cuda:0,32.3631,0.0117,31.6923,0.526105,4.98232,0.133029
q12.sql,3,cuda:0,32.2065,0.011209,31.6173,0.473712,4.38982,0.104246
q12.sql,4,cuda:0,32.2728,0.013649,31.9518,0.188306,3.97468,0.119063
q12.sql,5,cuda:0,32.334,0.010735,31.599,0.494258,4.274,0.229988
q13.sql,1,cuda:0,7731.68,0.012645,28.7504,7701.6,4.85947,1.31513
q13.sql,2,cuda:0,31.9134,0.007903,31.1559,0.533781,5.05213,0.215835
q13.sql,3,cuda:0,31.319,0.010495,31.0446,0.180094,4.31025,0.083811
q13.sql,4,cuda:0,31.4266,0.007787,30.9577,0.225982,4.25064,0.235098
q13.sql,5,cuda:0,31.2717,0.008499,30.9644,0.208858,4.1862,0.090016
q21.sql,1,cuda:0,9114.98,0.011099,843.91,7166.62,20.4585,1104.45
q21.sql,2,cuda:0,39.7706,0.005611,39.2392,0.414286,17.8627,0.1115
q21.sql,3,cuda:0,39.7413,0.004765,38.8798,0.705714,28.3595,0.150978
q21.sql,4,cuda:0,39.6531,0.004538,39.1228,0.411443,27.8117,0.114368
q21.sql,5,cuda:0,40.0185,0.006237,39.4374,0.400549,24.3523,0.174358
q22.sql,1,cuda:0,7858.59,0.014907,227.082,6696.8,15.0738,934.699
q22.sql,2,cuda:0,33.8508,0.005046,32.9222,0.784988,33.4364,0.13865
q22.sql,3,cuda:0,33.674,0.006542,33.1835,0.374962,31.6196,0.108985
q22.sql,4,cuda:0,34.0195,0.010802,33.2878,0.563591,17.3092,0.157282
q22.sql,5,cuda:0,34.0787,0.011307,33.1843,0.722077,12.4029,0.161046
q23.sql,1,cuda:0,8580.76,0.009264,667.482,6843.82,22.5841,1069.45
q23.sql,2,cuda:0,34.0972,0.007446,33.2699,0.633899,23.55,0.185925
q23.sql,3,cuda:0,33.9627,0.007822,33.1625,0.650486,23.0521,0.141858
q23.sql,4,cuda:0,33.9621,0.011381,33.1939,0.61284,22.4678,0.144002
q23.sql,5,cuda:0,33.8834,0.012827,33.1194,0.60313,28.4488,0.147959
q31.sql,1,cuda:0,8280.11,0.009031,255.616,6690.68,14.0396,1333.81
q31.sql,2,cuda:0,44.834,0.005368,44.2477,0.461233,13.7322,0.119656
q31.sql,3,cuda:0,44.9063,0.006827,44.3891,0.3928,12.3428,0.117551
q31.sql,4,cuda:0,44.7384,0.004097,44.2182,0.358871,11.9673,0.157193
q31.sql,5,cuda:0,44.8152,0.004604,44.3218,0.381547,12.3336,0.107253
q32.sql,1,cuda:0,9194.92,0.009229,11.5355,7876.6,13.1658,1306.78
q32.sql,2,cuda:0,35.0606,0.005207,34.3822,0.55697,13.1018,0.116176
q32.sql,3,cuda:0,35.236,0.011852,34.2731,0.796549,12.3404,0.154508
q32.sql,4,cuda:0,35.2273,0.006674,34.55,0.516581,12.6548,0.154029
q32.sql,5,cuda:0,35.1807,0.007282,34.4768,0.539376,12.142,0.1573
q33.sql,1,cuda:0,9530.72,0.016187,8.69126,8325.11,14.8839,1196.9
q33.sql,2,cuda:0,32.1485,0.006219,31.6384,0.38078,13.7392,0.123129
q33.sql,3,cuda:0,32.1037,0.006884,31.593,0.387116,12.6083,0.116725
q33.sql,4,cuda:0,32.1204,0.006357,31.6081,0.366268,12.408,0.139703
q33.sql,5,cuda:0,32.2245,0.009805,31.6647,0.397085,12.3931,0.152892
q34.sql,1,cuda:0,7926.27,0.012798,8.61736,6722.63,17.209,1195.01
